article_id,slug,date,time,is_updated,headline,excerpt,article_url,scraped_at
r~349bcaaa8aee11ea842f0cc47ab5f122,on-line-koronavirus,,,True,"Další nouzový stav už nebude, ujistil Babiš. Opatření budou na resortu zdravotnictví",Události kolem pandemie koronaviru v Česku i ve světě sledujeme v on-line reportáži.,/domaci//domaci/on-line-koronavirus/r~349bcaaa8aee11ea842f0cc47ab5f122/,03-05-2020 19:47:53
r~c4a1dbce8d2f11ea9d74ac1f6b220ee8,kubek-opatreni-proti-koronaviru-jsou-uvolnovana-chaoticky,,,False,"Uvolňování opatření je chaotické, míní Kubek. Není to výmysl politiků, říká ministr",Ministr zdravotnictví Adam Vojtěch se ohradil vůči výrokům prezidenta České lékařské komory Milana Kubka. Ten kritizoval opatření vlády.,/domaci//domaci/kubek-opatreni-proti-koronaviru-jsou-uvolnovana-chaoticky/r~c4a1dbce8d2f11ea9d74ac1f6b220ee8/,03-05-2020 19:47:53
r~0bc26990894a11eab1110cc47ab5f122,bezte-k-lekarum-jinak-nas-ceka-podzim-rakoviny-rika-sef-vfn,,,False,"Běžte k lékařům, jinak nás čeká podzim rakoviny a dalších nemocí, říká ředitel VFN",Nemocnice letos v březnu a dubnu poskytly oproti minulému roku jen asi třetinu lékařské péče. To se podle Davida Feltla na zdraví lidí musí projevit.,/domaci//domaci/bezte-k-lekarum-jinak-nas-ceka-podzim-rakoviny-rika-sef-vfn/r~0bc26990894a11eab1110cc47ab5f122/,03-05-2020 19:47:53
r~c68291be683f11ea9d74ac1f6b220ee8,pocty-nakazenych-v-krajich,,,True,Kolik je potvrzených nakažených v krajích? Aktuální data v mapě Česka,Potvrzené případy nákazy koronavirem v krajích České republiky a přehled prvních nakažených na našem území.,/domaci//domaci/pocty-nakazenych-v-krajich/r~c68291be683f11ea9d74ac1f6b220ee8/,03-05-2020 19:47:53
r~7c2edf068c7e11eab0f60cc47ab5f122,za-podnikatele-zaplatime-minimalne-tretinu-najemneho-slibuje,,,False,"Za podnikatele zaplatíme minimálně třetinu nájemného, slibuje Babiš","Logika by měla být taková, že stát přispěje na nájemné, když se dohodne nájemník s pronajímatelem na slevě nájemného, upřesnil ministr Karel Havlíček.",/domaci//domaci/za-podnikatele-zaplatime-minimalne-tretinu-najemneho-slibuje/r~7c2edf068c7e11eab0f60cc47ab5f122/,03-05-2020 19:47:53
r~26b946768c4f11ea9d74ac1f6b220ee8,ss-chystaji-pro-maturanty-prezencni-i-online-konzultace-ruzn,,,False,Školy poskytnou maturantům prezenční i online konzultace. Studenti VOŠ doženou praxe,Do konce školního roku už vláda s obnovením prezenční výuky v plném rozsahu nepočítá. Školy se mají postupně otevřít už jen v omezeném režimu.,/domaci//domaci/ss-chystaji-pro-maturanty-prezencni-i-online-konzultace-ruzn/r~26b946768c4f11ea9d74ac1f6b220ee8/,03-05-2020 19:47:53
r~5911774a8bca11eab1110cc47ab5f122,teploty-zacatkem-kvetna-spadnou-meteorologove-cekaji-i-snih,2020-05-01,18:44:00,False,"Na začátku května se ochladí, meteorologové čekají přízemní mrazy i sníh","V příštím týdnu mohou klesnout ranní teploty až na minus šest stupňů Celsia, upozorňuje Český hydrometeorologický ústav.",/domaci//pocasi/teploty-zacatkem-kvetna-spadnou-meteorologove-cekaji-i-snih/r~5911774a8bca11eab1110cc47ab5f122/,03-05-2020 19:47:53
r~0ca5d0d685f811eaa6f6ac1f6b220ee8,jan-hotovec-asistence-navzajem,2020-05-01,17:24:00,True,"Od narození má mozkovou obrnu. Dostal se na práva, má svůj start-up a učí se chodit","Jan Hotovec (21) sportuje, studuje a pracuje ve vlastním start-upu Asistence navzájem. Založil ho poté, co sám nemohl sehnat osobního asistenta.",/domaci//domaci/jan-hotovec-asistence-navzajem/r~0ca5d0d685f811eaa6f6ac1f6b220ee8/,03-05-2020 19:47:53
r~692fb1368ba811ea8b230cc47ab5f122,snad-pri-kulmovani-neomdlime-kadernikum-se-povinnost-nosit-s,2020-05-01,14:41:00,False,"""Snad při kulmování neomdlíme."" Kadeřníkům se nelíbí povinnost nosit štíty i roušky","Vláda rozhodla, že kadeřníci budou muset při práci povinně nosit roušky a ochranné štíty.",/domaci//domaci/snad-pri-kulmovani-neomdlime-kadernikum-se-povinnost-nosit-s/r~692fb1368ba811ea8b230cc47ab5f122/,03-05-2020 19:47:53
r~3eedfe368b8b11eab115ac1f6b220ee8,cesko-po-11-kvetnu-na-zahradky-v-rouskach-kina-budou-zaplnen,2020-05-01,12:18:00,False,"Na zahrádky v rouškách, kina zaplněná jen částečně. Jaké bude Česko po 11. květnu?",Vláda představila podmínky rozvolňování. Jak konkrétně bude vypadat život v Česku po 11. květnu?,/domaci//domaci/cesko-po-11-kvetnu-na-zahradky-v-rouskach-kina-budou-zaplnen/r~3eedfe368b8b11eab115ac1f6b220ee8/,03-05-2020 19:47:53
r~598e757c8b9011eab115ac1f6b220ee8,prymula-diky-chytre-karantene-budeme-schopni-odhalit-az-tret,2020-05-01,11:49:00,False,"Chytrá karanténa začala fungovat. Odhalíme třetinu kontaktů nemocného, tvrdí Prymula","Systém chytré karantény používá k odhalování nových případů nemoci covid-19 moderní technologie, například údaje z mobilních telefonů.",/domaci//domaci/prymula-diky-chytre-karantene-budeme-schopni-odhalit-az-tret/r~598e757c8b9011eab115ac1f6b220ee8/,03-05-2020 19:47:53
